ck3_terrain,primary_material,secondary_material,tertiary_material,primary_weight,secondary_weight,tertiary_weight,note
plains,plains_01,plains_01_noisy,plains_01_rough,0.55,0.28,0.17,"verified against vanilla's own detail_index (scripts/verify_terrain_paint_materials.py): no single non-regional material dominates vanilla's own ""plains"" pixels (top pick 19.4% share, near-tied with three others) - plains borders everything, so the vote is noise. Kept the literally-named default. | tertiary (lane paint-edges): plains_01_rough, 0.5 % of this key's own plains & lowlands interior in vanilla"
farmlands,farmland_01,plains_01,farm_paddy_01,0.55,0.28,0.17,"verified: vanilla's own top pick is ""india_farmlands"" (45.2%), a real-world-regional material (like the gen_*/medi_*/northern_* families) with no Faerun equivalent; excluded from consideration for the same reason as gen_*. farmland_01 (the generic, non-regional farmland material) is the correct class of choice and unchanged. | tertiary (lane paint-edges): farm_paddy_01, 0.6 % of this key's own farmland interior in vanilla"
hills,hills_01,hills_01_rocks,hills_01_rocks_medi,0.55,0.28,0.17,"verified: vanilla's own non-regional top pick for ""hills"" is hills_01 (17.9%, the plurality of a fragmented vote) - matches our primary exactly. Unchanged. | tertiary (lane paint-edges): hills_01_rocks_medi, 5.3 % of this key's own hills interior in vanilla"
terraced_hills,farm_paddy_01,hills_01_rocks_medi,farmland_01,0.55,0.28,0.17,"CHANGED (was primary=hills_01_rocks_medi, no note beyond ""no vanilla terraced material""). verified: vanilla's own top pick for terraced_hills, excluding regional gen_* variants, is farm_paddy_01 at 56.5% share - overwhelmingly dominant, and thematically correct (rice-paddy terracing is exactly what ""terraced hills"" means). The previous primary becomes the secondary (a rockier hillside texture under the paddy blend); still no vanilla material literally named ""terraced"". | tertiary (lane paint-edges): farmland_01, 0.3 % of this key's own farmland interior in vanilla"
mountains,mountain_02,mountain_02_c,mountain_02_d_valleys,0.55,0.28,0.17,"verified: vanilla's own top pick is mountain_02_snow (12.9%), but the vote is fragmented and near-tied with desert_rocky (11.7%) and hills_01_rocks (8.6%) - mountains border nearly every other terrain in vanilla's real geography, so this is boundary noise, not a real preference for snow-capped peaks specifically. Kept mountain_02/mountain_02_c (both already in vanilla's real top picks for this key, just not the plurality); a snow-capped secondary is a legitimate future art call but not backed strongly enough here to change unilaterally. | tertiary (lane paint-edges): mountain_02_d_valleys, 2.8 % of this key's own mountain interior in vanilla"
desert_mountains,desert_rocky,mountain_02_desert_c,drylands_01_grassy,0.55,0.28,0.17,"CHANGED (primary/secondary swapped; was primary=mountain_02_desert_c, secondary=desert_rocky, no note). verified: vanilla's own top pick, excluding regional gen_* variants, is desert_rocky (36.9%) essentially tied with hills_01_rocks_medi (33.5%); mountain_02_desert_c (our former primary) does not even appear in vanilla's own top 3 for this key. Swapped so the material vanilla itself actually favors leads; kept mountain_02_desert_c (literally named for this terrain) as the secondary. | tertiary (lane paint-edges): drylands_01_grassy, 4.0 % of this key's own desert & drylands interior in vanilla"
desert,desert_02,desert_wavy_01,drylands_01,0.55,0.28,0.17,"verified: vanilla's own top pick is desert_wavy_01 (22.1%, a weak plurality over drylands_01 16.9% and coastline_cliff_desert 12.7%) - already our secondary. Not swapped: the margin is too thin to be confident it beats our primary rather than reflecting which deserts happen to be dune-shaped on Earth's map, and detail_index primary typically carries more blend weight (30-98%, ck2ck3.map.terrain_paint), so keeping desert_02 primary is the more conservative, still-defensible choice. | tertiary (lane paint-edges): drylands_01, 15.1 % of this key's own desert & drylands interior in vanilla"
drylands,drylands_01,drylands_01_grassy,drylands_01_cracked,0.55,0.28,0.17,"verified: vanilla's own top pick is drylands_01_grassy (64.1%, strongly dominant) - already our secondary. Considered swapping to match vanilla exactly, but drylands_01 (bare/cracked) as primary with the grassy variant blended in reads correctly for Faerun's own drylands (which the terrain-vote data shows as sparser than vanilla's own drylands provinces); kept as a deliberate art call, not a data-driven one. | tertiary (lane paint-edges): drylands_01_cracked, 1.7 % of this key's own desert & drylands interior in vanilla"
oasis,oasis,medi_grass_01,drylands_01_grassy,0.55,0.28,0.17,"verified: vanilla's own top pick is beach_02 (56%, dominant within the non-regional vote), but CK3's own ""oasis"" terrain type is rare in vanilla (few provinces) and this lane's canvas paints zero oasis pixels (docs/step_map_paint.md), so the sample is small and the beach association is plausibly coincidental (the few vanilla oasis provinces likely sit near a coastline). Kept the literally-named default; not painted by Faerun today either way. | tertiary (lane paint-edges): drylands_01_grassy, 32.4 % of this key's own desert & drylands interior in vanilla"
jungle,forest_jungle_01,forestfloor,forest_leaf_01,0.55,0.28,0.17,"verified: vanilla's own top pick is forest_jungle_01 (64.0%, strongly dominant) - matches our primary exactly. Unchanged. | tertiary (lane paint-edges): forest_leaf_01, 0.8 % of this key's own forest & jungle interior in vanilla"
