ck2_key,ck3_key,status,confidence,note,decision_uses
trait,has_trait,approx,verified,"CK2 explicit trait check `trait = X` -> CK3 `has_trait = X`; the argument X is re-resolved through the traits step's id map at conversion time (ck2ck3.steps.decisions), not a literal rename",1169
has_character_flag,has_character_flag,exact,verified,unchanged,337
custom_tooltip,custom_tooltip,exact,verified,unchanged,330
text,text,exact,assumed,unchanged (custom_tooltip field),330
religion,faith,approx,verified,CK2 specific religion -> CK3 faith (faith = faith:<id>),296
not_casting,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),275
has_character_modifier,has_character_modifier,exact,verified,unchanged,261
wealth,gold,approx,verified,CK2 wealth (total gold) -> CK3 gold,203
character,this,approx,assumed,"CK2 `character = X` compares the current scope to X; CK3 compares scopes directly, no wrapper key",189
hidden_tooltip,,none,verified,"not a real CK3 vocabulary key at all (its ground-truth hits were the `text`-shaped custom_tooltip field, not a trigger keyword); wrapping content as custom_tooltip without the required `text=` field caused error(field-missing) - do not approximate, needs a human check per call site",154
flag,,none,assumed,"context-dependent field name, not a single vocabulary key",125
liege,liege,exact,verified,unchanged (scope-link comparison),121
had_character_flag,,none,assumed,CK3 has no 'had' (once-set) flag history trigger; needs a variable set alongside the flag,119
ai,,none,verified,"context-dependent field (e.g. custom_tooltip's audience filter); no single CK3 vocabulary meaning as a bare trigger, needs a human check per call site",118
war,is_at_war,approx,verified,CK2 war = yes/no -> CK3 is_at_war,116
using_cb,,none,assumed,CK3 war/CB structure differs; no direct trigger equivalent found,105
mult_modifier,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),100
always,always,exact,verified,unchanged,96
culture,culture,exact,verified,unchanged (scope-link comparison),95
prisoner,is_imprisoned,approx,assumed,CK2 prisoner = yes/no trigger -> CK3 is_imprisoned,95
piety,piety,exact,verified,unchanged,94
is_adult,is_adult,exact,verified,unchanged,90
trigger_if,trigger_if,exact,verified,unchanged,89
independent,,none,assumed,not found in the CK3 1.19 vocabulary sample; check `is_independent_ruler`,87
is_inaccessible_or_incapable_trigger,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),85
religion_group,,none,assumed,"CK3 groups faiths by `faith.religion`, not a bare scope word; needs the religions lane's religion-group id map, out of this lane's scope",78
culture_group,,none,assumed,"CK3 has no culture-group scope word; nearest is the culture's heritage/language pillar - needs the cultures lane's group->pillar map, out of this lane's scope",77
government,government,approx,assumed,CK2 government id -> CK3 government_type id via mappings/government_map.csv (titles lane); this lane emits the CK2 id verbatim as a `# CK2:` comment when not a literal match,73
prestige,prestige,exact,verified,unchanged,70
society_rank,,none,verified,societies do not exist in CK3 (docs/mechanics_inventory.md),66
has_landed_title,has_title,approx,assumed,CK3 renamed has_landed_title -> has_title,62
years,years,exact,assumed,unchanged (duration field),62
higher_tier_than,,none,verified,"not a CK3 key: CK3 restructures the comparison as `highest_held_title_tier > <value>` (a scripted value with an inline operator), not a bare trigger key - needs per-decision restructuring, not a table rename",59
any_war,,none,verified,not found in the CK3 1.19 vocabulary sample as a bare iterator; use is_at_war for the yes/no check,53
is_playable,is_playable,exact,verified,unchanged,52
attacker,attacker,exact,assumed,unchanged (war scope link),50
