ck2_key,ck3_key,scale,note,status
aberration_culture_group_opinion,<ck3_culture>_opinion,1,CK2 <culture|culture_group>_opinion; CK3 supports <culture>_opinion only (no culture-group scope) and the key must be declared in common/modifier_definition_formats/ - needs the culture map from the cultures lane,approx
abyssal_cult_opinion,<ck3_faith>_opinion,1,CK2 <religion>_opinion -> CK3 <faith>_opinion; the key must be declared in common/modifier_definition_formats/ (00_religion_definitions.txt) - needs the faith map from the religions lane,approx
actual_light_infantry,skirmishers_damage_mult,1,Faerun alias of light_infantry,approx
adama_opinion,<ck3_faith>_opinion,1,CK2 <religion>_opinion -> CK3 <faith>_opinion; the key must be declared in common/modifier_definition_formats/ (00_religion_definitions.txt) - needs the faith map from the religions lane,approx
ai_feudal_modifier,,,CK2 AI build weight; CK3 uses the building's own ai_value block - emit as comment,none
ai_republic_modifier,,,CK2 AI build weight; CK3 uses the building's own ai_value block - emit as comment,none
ambition_opinion,,,CK2 ambition-target opinion; no CK3 equivalent - emit as comment,none
arcane_opinion,<ck3_faith>_opinion,1,CK2 <religion>_opinion -> CK3 <faith>_opinion; the key must be declared in common/modifier_definition_formats/ (00_religion_definitions.txt) - needs the faith map from the religions lane,approx
archers,archers_damage_mult,1,in command_modifier a % bonus -> CK3 MAA damage; in a building a flat troop count -> comment,approx
army_reinforce_rate,levy_reinforcement_rate,1,CK2 raised-army reinforcement; CK3 only models levy reinforcement,approx
arrest_chance_modifier,,,CK2 arrest attempt chance; CK3 imprisonment has no chance roll - emit as comment,none
assassinate_chance_modifier,owned_hostile_scheme_success_chance_add,100,CK2 assassination plot chance -> CK3 hostile scheme success chance,approx
athar_trait_opinion,,,CK2 <trait>_opinion / opinion_of_<trait>: CK3 has no per-trait opinion modifier - emit as a `compatibility = { <trait> = X }` entry in the trait block (_traits.info:160) and a comment,none
attrition,,,CK3 has no character-scope attrition; only <terrain>_attrition_mult (province) and hostile_county_attrition - emit as comment,none
avariel_opinion,<ck3_culture>_opinion,1,CK2 <culture|culture_group>_opinion; CK3 supports <culture>_opinion only (no culture-group scope) and the key must be declared in common/modifier_definition_formats/ - needs the culture map from the cultures lane,approx
bahamut_opinion,<ck3_faith>_opinion,1,CK2 <religion>_opinion -> CK3 <faith>_opinion; the key must be declared in common/modifier_definition_formats/ (00_religion_definitions.txt) - needs the faith map from the religions lane,approx
blue_flame_opinion,<ck3_faith>_opinion,1,CK2 <religion>_opinion -> CK3 <faith>_opinion; the key must be declared in common/modifier_definition_formats/ (00_religion_definitions.txt) - needs the faith map from the religions lane,approx
build_cost_castle_modifier,castle_holding_build_gold_cost,1,CK3 has one key per holding type (00_holding_definitions.txt:8),exact
build_cost_modifier,holding_build_gold_cost,1,"both are a cost fraction, negative = cheaper",exact
build_time_modifier,holding_build_speed,1,"CK3 key is prefixed MOD_TIME_PREFIX with color=bad: negative = faster, same sign as CK2",exact
calishite_group_opinion,<ck3_culture>_opinion,1,CK2 <culture|culture_group>_opinion; CK3 supports <culture>_opinion only (no culture-group scope) and the key must be declared in common/modifier_definition_formats/ - needs the culture map from the cultures lane,approx
camel_cavalry,camel_cavalry_damage_mult,1,same unit exists in CK3,approx
cavalry,heavy_cavalry_damage_mult,1,CK2 generic cavalry -> CK3 heavy cavalry,approx
center,,,CK3 battles have no centre - emit as comment,none
christian_opinion,<ck3_faith>_opinion,1,CK2 <religion>_opinion -> CK3 <faith>_opinion; the key must be declared in common/modifier_definition_formats/ (00_religion_definitions.txt) - needs the faith map from the religions lane,approx
church_of_cyric_opinion,<ck3_faith>_opinion,1,CK2 <religion>_opinion -> CK3 <faith>_opinion; the key must be declared in common/modifier_definition_formats/ (00_religion_definitions.txt) - needs the faith map from the religions lane,approx
church_opinion,clergy_opinion,1,CK2 church_opinion is the realm clergy's opinion -> CK3 clergy_opinion,approx
combat_rating,prowess,0.1,"CK2 2.x rescaled combat_rating x10 (see 00_traits.txt:1728 '#old value: 1'); Faerun range [-100,60] vs CK3 trait prowess range [-10,8]",approx
convert_to_castle,,,CK2 tribal upgrade target; CK3 holdings are not converted by buildings - emit as comment,none
convert_to_city,,,CK2 tribal upgrade target; CK3 holdings are not converted by buildings - emit as comment,none
court_size_modifier,court_grandeur_baseline_add,1,"CK2 raises the courtier cap; CK3 has no cap, grandeur is the nearest construct",approx
creature_elf_opinion,,,CK2 <trait>_opinion / opinion_of_<trait>: CK3 has no per-trait opinion modifier - emit as a `compatibility = { <trait> = X }` entry in the trait block (_traits.info:160) and a comment,none
creature_human_opinion,,,CK2 <trait>_opinion / opinion_of_<trait>: CK3 has no per-trait opinion modifier - emit as a `compatibility = { <trait> = X }` entry in the trait block (_traits.info:160) and a comment,none
creature_orc_opinion,,,CK2 <trait>_opinion / opinion_of_<trait>: CK3 has no per-trait opinion modifier - emit as a `compatibility = { <trait> = X }` entry in the trait block (_traits.info:160) and a comment,none
culture_flex,cultural_acceptance_gain_mult,1,CK2 conversion flexibility -> CK3 cultural acceptance gain,approx
culture_techpoints,development_growth,1,CK2 culture tech points; CK3 has no per-category tech - use development growth,approx
damage,army_damage_mult,1,CK2 commander damage bonus -> CK3 army damage multiplier,approx
dark_elf_group_opinion,<ck3_culture>_opinion,1,CK2 <culture|culture_group>_opinion; CK3 supports <culture>_opinion only (no culture-group scope) and the key must be declared in common/modifier_definition_formats/ - needs the culture map from the cultures lane,approx
days_of_supply,supply_duration,1,CK2 days -> CK3 supply duration (months) - divide by 30,approx
defence,army_toughness_mult,1,CK2 commander defence bonus -> CK3 army toughness multiplier,approx
defensive_plot_power_modifier,enemy_hostile_scheme_success_chance_add,-100,"CK2 raises defence, CK3 lowers the enemy's success chance - sign flips",approx
demesne_size,domain_limit,1,"both are whole holdings; CK2 1..3, CK3 -1..3",exact
diplomacy,diplomacy,1,same additive attribute point,exact
diplomacy_penalty,diplomacy,1,CK2 splits attribute bonus and attribute penalty; CK3 has one additive key - sum both into it,approx
disease_defence,epidemic_resistance,1,CK2 fraction vs CK3 additive resistance points; check magnitude per trait,approx
dragonkin_group_opinion,<ck3_culture>_opinion,1,CK2 <culture|culture_group>_opinion; CK3 supports <culture>_opinion only (no culture-group scope) and the key must be declared in common/modifier_definition_formats/ - needs the culture map from the cultures lane,approx
dwarf_group_opinion,<ck3_culture>_opinion,1,CK2 <culture|culture_group>_opinion; CK3 supports <culture>_opinion only (no culture-group scope) and the key must be declared in common/modifier_definition_formats/ - needs the culture map from the cultures lane,approx
dwarven_pantheon_group_opinion,<ck3_religion>_religion_opinion,1,CK2 <religion_group>_opinion -> CK3 <religion>_religion_opinion (00_religion_definitions.txt:1); must be declared in common/modifier_definition_formats/,approx
dynasty_opinion,dynasty_opinion,1,same key and range,exact
economy_techpoints,development_growth,1,CK2 economy tech points; CK3 has no per-category tech - use development growth,approx
eilistraee_opinion,<ck3_faith>_opinion,1,CK2 <religion>_opinion -> CK3 <faith>_opinion; the key must be declared in common/modifier_definition_formats/ (00_religion_definitions.txt) - needs the faith map from the religions lane,approx
eladrin_group_opinion,<ck3_culture>_opinion,1,CK2 <culture|culture_group>_opinion; CK3 supports <culture>_opinion only (no culture-group scope) and the key must be declared in common/modifier_definition_formats/ - needs the culture map from the cultures lane,approx
elven_pantheon_group_opinion,<ck3_religion>_religion_opinion,1,CK2 <religion_group>_opinion -> CK3 <religion>_religion_opinion (00_religion_definitions.txt:1); must be declared in common/modifier_definition_formats/,approx
elven_pantheon_opinion,<ck3_faith>_opinion,1,CK2 <religion>_opinion -> CK3 <faith>_opinion; the key must be declared in common/modifier_definition_formats/ (00_religion_definitions.txt) - needs the faith map from the religions lane,approx
enlil_opinion,<ck3_faith>_opinion,1,CK2 <religion>_opinion -> CK3 <faith>_opinion; the key must be declared in common/modifier_definition_formats/ (00_religion_definitions.txt) - needs the faith map from the religions lane,approx
entropy_opinion,<ck3_faith>_opinion,1,CK2 <religion>_opinion -> CK3 <faith>_opinion; the key must be declared in common/modifier_definition_formats/ (00_religion_definitions.txt) - needs the faith map from the religions lane,approx
evil_human_pantheon_group_opinion,<ck3_religion>_religion_opinion,1,CK2 <religion_group>_opinion -> CK3 <religion>_religion_opinion (00_religion_definitions.txt:1); must be declared in common/modifier_definition_formats/,approx
faceless_god_opinion,<ck3_faith>_opinion,1,CK2 <religion>_opinion -> CK3 <faith>_opinion; the key must be declared in common/modifier_definition_formats/ (00_religion_definitions.txt) - needs the faith map from the religions lane,approx
faithless_opinion,<ck3_faith>_opinion,1,CK2 <religion>_opinion -> CK3 <faith>_opinion; the key must be declared in common/modifier_definition_formats/ (00_religion_definitions.txt) - needs the faith map from the religions lane,approx
fertility,fertility,1,"both are an additive fraction on base fertility; CK2 p90 0.2, CK3 p90 0.2",exact
fertility_penalty,fertility,1,CK2 separate fertility-penalty channel; fold into CK3 fertility,approx
flank,,,CK3 battles have no flanks - emit as comment,none
fort_level,fort_level,1,CK3 buildings use additional_fort_level in province_modifier (tgp_great_project_buildings.txt:524),exact
