# CK2 opinion modifier key -> CK3 opinion modifier key, resolved against the
# culture and faith ids the `cultures` / `religions` steps emit.
# Written by scripts/export_opinion_modifier_map.py; consumed by the traits lane.
# A CK2 culture-GROUP key produces one row per culture of the group: CK3 has no
# culture-group opinion scope (verified: 0 heritage_*_opinion keys in 1.19).
# Every ck3_modifier_key here is declared in the generated
# common/modifier_definition_formats/fae_{culture,faith}_opinions.txt.
# Vanilla-key collisions: 0 (none)
ck2_modifier_key,ck3_modifier_key,scope,status,note
aberration_culture_group_opinion,aboleth_opinion,culture,approx,"CK2 culture group aberration_culture_group: CK3 has no culture-group opinion scope, so the CK2 key fans out to every culture of the group"
aberration_culture_group_opinion,beholder_opinion,culture,approx,"CK2 culture group aberration_culture_group: CK3 has no culture-group opinion scope, so the CK2 key fans out to every culture of the group"
aberration_culture_group_opinion,elder_brain_opinion,culture,approx,"CK2 culture group aberration_culture_group: CK3 has no culture-group opinion scope, so the CK2 key fans out to every culture of the group"
aberration_culture_group_opinion,ghaunadan_opinion,culture,approx,"CK2 culture group aberration_culture_group: CK3 has no culture-group opinion scope, so the CK2 key fans out to every culture of the group"
aberration_culture_group_opinion,hcathan_opinion,culture,approx,"CK2 culture group aberration_culture_group: CK3 has no culture-group opinion scope, so the CK2 key fans out to every culture of the group"
aberration_culture_group_opinion,illithid_opinion,culture,approx,"CK2 culture group aberration_culture_group: CK3 has no culture-group opinion scope, so the CK2 key fans out to every culture of the group"
aberration_culture_group_opinion,spectator_opinion,culture,approx,"CK2 culture group aberration_culture_group: CK3 has no culture-group opinion scope, so the CK2 key fans out to every culture of the group"
aberration_culture_group_opinion,starspawn_opinion,culture,approx,"CK2 culture group aberration_culture_group: CK3 has no culture-group opinion scope, so the CK2 key fans out to every culture of the group"
aberration_culture_group_opinion,thoon_opinion,culture,approx,"CK2 culture group aberration_culture_group: CK3 has no culture-group opinion scope, so the CK2 key fans out to every culture of the group"
abyssal_cult_opinion,abyssal_cult_opinion,faith,exact,
adama_opinion,adama_opinion,faith,exact,
arcane_opinion,arcane_opinion,faith,exact,
avariel_opinion,avariel_opinion,culture,exact,
bahamut_opinion,bahamut_opinion,faith,exact,
blue_flame_opinion,blue_flame_opinion,faith,exact,
